Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 22.04.1988,20:00,Fortuna Köln,2:1,VfL Osnabrück
Fr. 22.04.1988,20:00,Alem. Aachen,2:1,SpVgg Bayreuth
Fr. 22.04.1988,20:00,F. Düsseldorf,3:0,SSV Ulm 1846
Sa. 23.04.1988,15:30,SC Freiburg,1:1,Darmstadt 98
Sa. 23.04.1988,15:30,K. Offenbach,1:1,Saarbrücken
Sa. 23.04.1988,15:30,SV Meppen,2:3,BW Berlin
Sa. 23.04.1988,15:30,Wattenscheid 09,1:1,Stuttg. Kickers
Sa. 23.04.1988,15:30,RW Essen,1:2,Union Solingen
Sa. 23.04.1988,15:30,BVL Remscheid,1:0,RW Oberhausen
So. 24.04.1988,15:00,Arm. Bielefeld,0:1,FC St. Pauli
