Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 07.02.1992,20:00,VfL Bochum,0:0,E. Frankfurt
Fr. 07.02.1992,20:00,Dynamo Dresden,1:2,1.FC Nürnberg
Fr. 07.02.1992,20:00,Karlsruher SC,1:2,Wattenscheid 09
Sa. 08.02.1992,15:30,Hansa Rostock,2:0,VfB Stuttgart
Sa. 08.02.1992,15:30,F. Düsseldorf,1:1,Bor. Dortmund
Sa. 08.02.1992,15:30,1.FC Köln,0:0,Hamburger SV
Sa. 08.02.1992,15:30,Stuttg. Kickers,1:1,1.FC K'lautern
Sa. 08.02.1992,15:30,Werder Bremen,0:0,Bor. M'gladbach
Sa. 08.02.1992,15:30,FC Schalke 04,1:1,Bayern München
So. 09.02.1992,18:00,MSV Duisburg,1:2,B. Leverkusen
