Liga,Saison,Spieltag,Datum,Uhrzeit,Heim,Ergebnis,Gast
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,FC Schalke 04,3:1,1860 München
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,Hannover 96,2:0,SC Freiburg
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,Union Solingen,1:1,Wattenscheid 09
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,Freiburger FC,2:0,Bayer 05
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,SpVgg Fürth,2:0,Hertha BSC
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,SpVgg Bayreuth,0:0,Hessen Kassel
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,W. Mannheim,1:1,RW Essen
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,Alem. Aachen,1:1,Stuttg. Kickers
2. Bundesliga,1981,1,Sa. 01.08.1981,15:00,Wormatia Worms,0:1,Fortuna Köln
2. Bundesliga,1981,1,Di. 18.08.1981,19:00,VfL Osnabrück,1:2,K. Offenbach
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,Wattenscheid 09,1:1,Freiburger FC
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,Bayer 05,1:0,Alem. Aachen
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,Stuttg. Kickers,2:0,W. Mannheim
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,RW Essen,3:0,SpVgg Bayreuth
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,K. Offenbach,5:2,Union Solingen
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,Hessen Kassel,1:0,Hannover 96
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,SC Freiburg,2:0,Wormatia Worms
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,Fortuna Köln,3:1,SpVgg Fürth
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,Hertha BSC,3:1,FC Schalke 04
2. Bundesliga,1981,2,Di. 04.08.1981,19:30,1860 München,1:1,VfL Osnabrück
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,Alem. Aachen,3:0,Wattenscheid 09
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,Hertha BSC,4:0,Fortuna Köln
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,SpVgg Fürth,2:2,SC Freiburg
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,Wormatia Worms,1:0,Hessen Kassel
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,Hannover 96,3:0,RW Essen
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,SpVgg Bayreuth,3:1,Stuttg. Kickers
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,W. Mannheim,3:0,Bayer 05
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,FC Schalke 04,2:2,VfL Osnabrück
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,Freiburger FC,2:2,K. Offenbach
2. Bundesliga,1981,3,Sa. 08.08.1981,15:00,Union Solingen,1:2,1860 München
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,K. Offenbach,1:0,Alem. Aachen
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,VfL Osnabrück,0:0,Union Solingen
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,Wattenscheid 09,1:1,W. Mannheim
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,Bayer 05,3:2,SpVgg Bayreuth
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,Hessen Kassel,1:1,SpVgg Fürth
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,SC Freiburg,0:2,Hertha BSC
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,Fortuna Köln,1:2,FC Schalke 04
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,1860 München,1:1,Freiburger FC
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,Stuttg. Kickers,2:1,Hannover 96
2. Bundesliga,1981,4,Sa. 15.08.1981,15:00,RW Essen,2:0,Wormatia Worms
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,Alem. Aachen,2:0,1860 München
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,FC Schalke 04,1:1,Union Solingen
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,Fortuna Köln,3:1,SC Freiburg
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,SpVgg Fürth,1:1,RW Essen
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,Hannover 96,1:0,Bayer 05
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,SpVgg Bayreuth,2:2,Wattenscheid 09
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,W. Mannheim,3:1,K. Offenbach
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,Freiburger FC,2:0,VfL Osnabrück
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,Hertha BSC,2:2,Hessen Kassel
2. Bundesliga,1981,5,Sa. 22.08.1981,15:00,Wormatia Worms,1:3,Stuttg. Kickers
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,K. Offenbach,2:1,SpVgg Bayreuth
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,Wattenscheid 09,3:1,Hannover 96
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,Union Solingen,5:2,Freiburger FC
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,VfL Osnabrück,1:0,Alem. Aachen
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,1860 München,2:1,W. Mannheim
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,Bayer 05,4:1,Wormatia Worms
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,Stuttg. Kickers,3:1,SpVgg Fürth
2. Bundesliga,1981,6,Di. 25.08.1981,19:30,RW Essen,2:2,Hertha BSC
